SGD.id	SYMBOL	SYSTEMATIC.name	ABUNDANCE.value	ABUNDANCE.units
S000004196	Ent2p	YLR206W	3485.0	molecules/cell
S000004197	Hrd3p	YLR207W	1891.0	molecules/cell
S000004198	Sec13p	YLR208W	17912.0	molecules/cell
S000004199	Pnp1p	YLR209C	5220.0	molecules/cell
S000004200	Clb4p	YLR210W	99.0	molecules/cell
S000004201	Atg38p	YLR211C	933.0	molecules/cell
S000004202	Tub4p	YLR212C	3148.0	molecules/cell
S000004203	Crr1p	YLR213C	""	molecules/cell
S000004204	Fre1p	YLR214W	1528.0	molecules/cell
S000004205	Cdc123p	YLR215C	3142.0	molecules/cell
S000004206	Cpr6p	YLR216C	26863.0	molecules/cell
S000004207	Ylr217Wp	YLR217W	""	""
S000004208	Coa4p	YLR218C	2060.0	molecules/cell
S000004209	Msc3p	YLR219W	2767.0	molecules/cell
S000004210	Ccc1p	YLR220W	3502.0	molecules/cell
S000004211	Rsa3p	YLR221C	4441.0	molecules/cell
S000004212	Utp13p	YLR222C	5561.0	molecules/cell
S000004213	Ifh1p	YLR223C	1958.0	molecules/cell
S000004214	Ucc1p	YLR224W	299.0	molecules/cell
S000004215	Ylr225Cp	YLR225C	3466.0	molecules/cell
S000004216	Bur2p	YLR226W	2508.0	molecules/cell
S000004217	Ady4p	YLR227C	""	""
S000004218	Ecm22p	YLR228C	669.0	molecules/cell
S000004219	Cdc42p	YLR229C	5221.0	molecules/cell
S000004220	Ylr230Wp	YLR230W	""	""
S000004221	Bna5p	YLR231C	4943.0	molecules/cell
S000004222	Ylr232Wp	YLR232W	""	""
S000004223	Est1p	YLR233C	1203.0	molecules/cell
S000004224	Top3p	YLR234W	727.0	molecules/cell
S000004225	Ylr235Cp	YLR235C	""	""
S000004226	Ylr236Cp	YLR236C	""	""
S000004227	Thi7p	YLR237W	1612.0	molecules/cell
S000004228	Far10p	YLR238W	454.0	molecules/cell
S000004229	Lip2p	YLR239C	1229.0	molecules/cell
S000004230	Vps34p	YLR240W	1561.0	molecules/cell
S000004231	Csc1p	YLR241W	523.0	molecules/cell
S000004232	Arv1p	YLR242C	1322.0	molecules/cell
S000004233	Gpn3p	YLR243W	2507.0	molecules/cell
S000004234	Map1p	YLR244C	14218.0	molecules/cell
S000004235	Cdd1p	YLR245C	3117.0	molecules/cell
S000004236	Erf2p	YLR246W	""	molecules/cell
S000004237	Irc20p	YLR247C	558.0	molecules/cell
S000004238	Rck2p	YLR248W	5272.0	molecules/cell
S000004239	Yef3p	YLR249W	172751.0	molecules/cell
S000004240	Ssp120p	YLR250W	5115.0	molecules/cell
S000004241	Sym1p	YLR251W	1611.0	molecules/cell
S000004242	Ylr252Wp	YLR252W	""	""
S000004243	Cqd2p	YLR253W	1600.0	molecules/cell
S000004244	Ndl1p	YLR254C	1756.0	molecules/cell
S000004245	Ylr255Cp	YLR255C	""	""
S000004246	Hap1p	YLR256W	1450.0	molecules/cell
S000004247	Ylr257Wp	YLR257W	12312.0	molecules/cell
S000004248	Gsy2p	YLR258W	7615.0	molecules/cell
S000004249	Hsp60p	YLR259C	50754.0	molecules/cell
S000004250	Lcb5p	YLR260W	1235.0	molecules/cell
S000004251	Vps63p	YLR261C	""	""
S000004252	Ypt6p	YLR262C	5189.0	molecules/cell
S000004253	Red1p	YLR263W	1255.0	molecules/cell
S000004254	Rps28Bp	YLR264W	8600.0	molecules/cell
S000004255	Nej1p	YLR265C	787.0	molecules/cell
S000004256	Pdr8p	YLR266C	1134.0	molecules/cell
S000004257	Bop2p	YLR267W	7728.0	molecules/cell
S000004258	Sec22p	YLR268W	4602.0	molecules/cell
S000004259	Ylr269Cp	YLR269C	""	""
S000004260	Dcs1p	YLR270W	11214.0	molecules/cell
S000004261	Cmg1p	YLR271W	830.0	molecules/cell
S000004262	Ycs4p	YLR272C	1533.0	molecules/cell
S000004263	Pig1p	YLR273C	""	molecules/cell
S000004264	Mcm5p	YLR274W	3825.0	molecules/cell
S000004265	Smd2p	YLR275W	3590.0	molecules/cell
S000004266	Dbp9p	YLR276C	5914.0	molecules/cell
S000004267	Ysh1p	YLR277C	2253.0	molecules/cell
S000004268	Ylr278Cp	YLR278C	1069.0	molecules/cell
S000004269	Ylr279Wp	YLR279W	""	""
S000004270	Ylr280Cp	YLR280C	""	""
S000004271	Rso55p	YLR281C	731.0	molecules/cell
S000004272	Ylr282Cp	YLR282C	""	""
S000004273	Put7p	YLR283W	639.0	molecules/cell
S000004274	Eci1p	YLR284C	1600.0	molecules/cell
S000004275	Nnt1p	YLR285W	4895.0	molecules/cell
S000004276	Cts1p	YLR286C	5411.0	molecules/cell
S000004277	Ylr287Cp	YLR287C	4763.0	molecules/cell
S000004278	Rps30Ap	YLR287C-A	46315.0	molecules/cell
S000004279	Mec3p	YLR288C	213.0	molecules/cell
S000004280	Guf1p	YLR289W	731.0	molecules/cell
S000004281	Coq11p	YLR290C	2693.0	molecules/cell
S000004282	Gcd7p	YLR291C	5999.0	molecules/cell
S000004283	Sec72p	YLR292C	5290.0	molecules/cell
S000004284	Gsp1p	YLR293C	34197.0	molecules/cell
S000004285	Ylr294Cp	YLR294C	""	""
S000004286	Atp14p	YLR295C	16282.0	molecules/cell
