up:P38109	sce:YBR139W
up:P18963	sce:YBR140C
up:P38278	sce:YBR141C
up:P38112	sce:YBR142W
up:P12385	sce:YBR143C
up:P38113	sce:YBR145W
up:P38120	sce:YBR146W
up:P38279	sce:YBR147W
up:P38280	sce:YBR148W
up:P38115	sce:YBR149W
up:P38114	sce:YBR150C
up:P38281	sce:YBR151W
up:P38282	sce:YBR152W
up:P33312	sce:YBR153W
up:P20434	sce:YBR154C
up:P33313	sce:YBR155W
up:P38283	sce:YBR156C
up:P38284	sce:YBR157C
up:P38285	sce:YBR158W
up:P38286	sce:YBR159W
up:P00546	sce:YBR160W
up:P38287	sce:YBR161W
up:P38288	sce:YBR162C
up:P38374	sce:YBR162W-A
up:P38289	sce:YBR163W
up:P38116	sce:YBR164C
up:P38290	sce:YBR165W
up:P20049	sce:YBR166C
up:P38291	sce:YBR167C
up:P38292	sce:YBR168W
up:P32590	sce:YBR169C
up:P33755	sce:YBR170C
up:P33754	sce:YBR171W
up:P32909	sce:YBR172C
up:P38293	sce:YBR173C
up:P38123	sce:YBR175W
up:P38122	sce:YBR176W
up:P38295	sce:YBR177C
up:P38297	sce:YBR179C
up:P38125	sce:YBR180W
up:P0CX37	sce:YBR181C
up:P0CX38	sce:YBR181C
up:P38128	sce:YBR182C
up:Q8TGU6	sce:YBR182C-A
up:P38298	sce:YBR183W
up:P38299	sce:YBR184W
up:P38300	sce:YBR185C
up:P38126	sce:YBR186W
up:P38301	sce:YBR187W
up:P38302	sce:YBR188C
up:P05755	sce:YBR189W
up:Q02753	sce:YBR191W
up:P38127	sce:YBR192W
up:P38304	sce:YBR193C
up:P38305	sce:YBR194W
up:P13712	sce:YBR195C
up:P12709	sce:YBR196C
up:Q3E820	sce:YBR196C-A
up:Q3E778	sce:YBR196C-B
up:P38306	sce:YBR197C
up:P38129	sce:YBR198C
up:P38131	sce:YBR199W
up:P29366	sce:YBR200W
up:Q3E755	sce:YBR200W-A
up:Q2V2Q3	sce:YBR201C-A
up:P38307	sce:YBR201W
up:P38132	sce:YBR202W
up:P38308	sce:YBR203W
up:P38139	sce:YBR204C
up:P38130	sce:YBR205W
up:P38310	sce:YBR207W
up:P32528	sce:YBR208C
up:P38312	sce:YBR210W
up:P38313	sce:YBR211C
up:P32831	sce:YBR212W
up:P15807	sce:YBR213W
up:P38314	sce:YBR214W
up:Q01448	sce:YBR215W
up:P38315	sce:YBR216C
up:P38316	sce:YBR217W
up:P32327	sce:YBR218C
up:P38317	sce:YBR219C
up:P38318	sce:YBR220C
up:P32473	sce:YBR221C
up:Q3E781	sce:YBR221W-A
up:P38137	sce:YBR222C
up:P38319	sce:YBR223C
up:P38321	sce:YBR225W
up:P38323	sce:YBR227C
up:P38324	sce:YBR228W
up:P38138	sce:YBR229C
up:P38325	sce:YBR230C
up:Q3E762	sce:YBR230W-A
up:P38326	sce:YBR231C
up:P38151	sce:YBR233W
up:P69850	sce:YBR233W-A
up:P38328	sce:YBR234C
up:P38329	sce:YBR235W
up:P32783	sce:YBR236C
up:P21372	sce:YBR237W
up:P38330	sce:YBR238C
up:P38140	sce:YBR239C
up:P38141	sce:YBR240C
up:P38142	sce:YBR241C
up:P38331	sce:YBR242W
up:P07286	sce:YBR243C
