PATHWAY.name	SYSTEMATIC.name
Alanine, aspartate and glutamate metabolism	YGR124W
Alanine, aspartate and glutamate metabolism	YLR351C
Alanine, aspartate and glutamate metabolism	YDR111C
Alanine, aspartate and glutamate metabolism	YLR089C
Alanine, aspartate and glutamate metabolism	YFL030W
Alanine, aspartate and glutamate metabolism	YOL058W
Alanine, aspartate and glutamate metabolism	YHR018C
Alanine, aspartate and glutamate metabolism	YNL220W
Alanine, aspartate and glutamate metabolism	YLR359W
Alanine, aspartate and glutamate metabolism	YMR250W
Alanine, aspartate and glutamate metabolism	YGR019W
Alanine, aspartate and glutamate metabolism	YBR006W
Alanine, aspartate and glutamate metabolism	YDL171C
Alanine, aspartate and glutamate metabolism	YDL215C
Alanine, aspartate and glutamate metabolism	YOR375C
Alanine, aspartate and glutamate metabolism	YAL062W
Alanine, aspartate and glutamate metabolism	YHR037W
Alanine, aspartate and glutamate metabolism	YPR035W
Alanine, aspartate and glutamate metabolism	YJL130C
Alanine, aspartate and glutamate metabolism	YJR109C
Alanine, aspartate and glutamate metabolism	YOR303W
Alanine, aspartate and glutamate metabolism	YKL104C
Alanine, aspartate and glutamate metabolism	YMR084W
Alanine, aspartate and glutamate metabolism	YMR300C
alpha-Linolenic acid metabolism	YKR089C
alpha-Linolenic acid metabolism	YOR081C
alpha-Linolenic acid metabolism	YGL205W
alpha-Linolenic acid metabolism	YIL160C
Amino sugar and nucleotide sugar metabolism	YLR286C
Amino sugar and nucleotide sugar metabolism	YDR371W
Amino sugar and nucleotide sugar metabolism	YLR307W
Amino sugar and nucleotide sugar metabolism	YLR308W
Amino sugar and nucleotide sugar metabolism	YGL253W
Amino sugar and nucleotide sugar metabolism	YFR053C
Amino sugar and nucleotide sugar metabolism	YCL040W
Amino sugar and nucleotide sugar metabolism	YDR516C
Amino sugar and nucleotide sugar metabolism	YLR446W
Amino sugar and nucleotide sugar metabolism	YKL104C
Amino sugar and nucleotide sugar metabolism	YMR084W
Amino sugar and nucleotide sugar metabolism	YFL017C
Amino sugar and nucleotide sugar metabolism	YEL058W
Amino sugar and nucleotide sugar metabolism	YDL103C
Amino sugar and nucleotide sugar metabolism	YIL043C
Amino sugar and nucleotide sugar metabolism	YKL150W
Amino sugar and nucleotide sugar metabolism	YML125C
Amino sugar and nucleotide sugar metabolism	YML087C
Amino sugar and nucleotide sugar metabolism	YNL192W
Amino sugar and nucleotide sugar metabolism	YBR023C
Amino sugar and nucleotide sugar metabolism	YBR038W
Amino sugar and nucleotide sugar metabolism	YMR105C
Amino sugar and nucleotide sugar metabolism	YKL127W
Amino sugar and nucleotide sugar metabolism	YMR278W
Amino sugar and nucleotide sugar metabolism	YHL012W
Amino sugar and nucleotide sugar metabolism	YKL035W
Amino sugar and nucleotide sugar metabolism	YDR009W
Amino sugar and nucleotide sugar metabolism	YBR020W
Amino sugar and nucleotide sugar metabolism	YBR018C
Amino sugar and nucleotide sugar metabolism	YBR019C
Amino sugar and nucleotide sugar metabolism	YBR196C
Amino sugar and nucleotide sugar metabolism	YER003C
Amino sugar and nucleotide sugar metabolism	YFL045C
Amino sugar and nucleotide sugar metabolism	YDL055C
Aminoacyl-tRNA biosynthesis	YNCM0018C
Aminoacyl-tRNA biosynthesis	YNCK0019W
Aminoacyl-tRNA biosynthesis	YNCD0004W
Aminoacyl-tRNA biosynthesis	YNCM0035C
Aminoacyl-tRNA biosynthesis	YNCK0008W
Aminoacyl-tRNA biosynthesis	YNCL0035C
Aminoacyl-tRNA biosynthesis	YNCG0034W
Aminoacyl-tRNA biosynthesis	YNCF0011C
Aminoacyl-tRNA biosynthesis	YNCP0022W
